DRX,Afreeca Freecs,1,Kennen/Lee Sin/Azir/Lucian/Yuu,Cam/Nidalee/Zoe/Ezreal/Bard,2020-08-01 11:00:00
DRX,Afreeca Freecs,1,Renekton/Sejuani/Azir/Kalista/Alistar,Wukong/Poppy/Zoe/Aph/Braum,2020-08-01 11:00:00
Gen.G Esports,DRX,1,Malphite/Trundle/Azir/Ashe/Braum,Wukong/Nidalee/Twisted Fate/Aphelios/Yuumi,2020-06-19 11:00:00
Hanwha Life Esports,DAMWON Gaming,2,Renekton/Lee Sin/Galio 2017/Aph/Braum,Jc/Rek'Sai/Syl/Ashe/Pantheon 2019,2020-08-02 08:00:00
Hanwha Life Esports,DAMWON Gaming,2,Wukong/Volibear 2020/Syl/Ashe/Soraka,Jc/Olaf/Kassadin/Senna/Sett,2020-08-02 08:00:00
T1,SANDBOX Gaming,1,Cam/Volibear 2020/Zoe/Ezreal/Bard,Wukong/Hecarim/Irelia 2018/Sona/Lux,2020-08-02 11:00:00
T1,SANDBOX Gaming,1,Syl/Rek'Sai/Zoe/Ashe/Braum,Kennen/Lee Sin/LeBlanc/Aph/Nautilus,2020-08-02 11:00:00
DAMWON Gaming,Gen.G Esports,1,Jayce/Nidalee/Sett/Ashe/Poppy,Karma/Lee Sin/Zoe/Kalista/Gragas,2020-08-06 08:00:00
DAMWON Gaming,Gen.G Esports,2,Gnar/Olaf/Zoe/Ezreal/Bard,Renekton/Volibear 2020/Karma/Ashe/Lulu,2020-08-06 08:00:00
DAMWON Gaming,Gen.G Esports,1,Jayce/Karthus/Twisted Fate/Kalista/Sejuani,Irelia 2018/Nocturne/Galio 2017/Ezreal/Tahm Kench,2020-08-06 08:00:00
SeolHaeOne Prince,T1,2,Illaoi/Olaf/LeBlanc/Caitlyn/Bard,Vladimir/Volibear 2020/Sylas/Ezreal/Sett,2020-08-06 11:00:00
SeolHaeOne Prince,T1,2,Karma/Lee Sin/Syndra/Ashe/Pantheon 2019,Jayce/Sett/Zoe/Ezreal/Leona,2020-08-06 11:00:00
Afreeca Freecs,Team Dynamics,1,Akali 2018/Jarvan IV/Syndra/Ashe/Nautilus,Gangplank/Olaf/Zoe/Jhin/Bard,2020-08-07 08:00:00
Gen.G Esports,DRX,2,Kled/Trundle/Syndra/Ezreal/Nautilus,Aatrox 2018/Olaf/LeBlanc/Lucian/Yuumi,2020-06-19 11:00:00
Afreeca Freecs,Team Dynamics,2,Irelia 2018/Karthus/Syndra/Aph/Nautilus,Kennen/Olaf/Karma/Caitlyn/Lux,2020-08-07 08:00:00
Afreeca Freecs,Team Dynamics,1,Mordekaiser 2019/Trundle/Zoe/Caitlyn/Karma,Syl/Jarvan IV/Galio 2017/Ashe/Lux,2020-08-07 08:00:00
KT Rolster,Hanwha Life Esports,2,Mordekaiser 2019/Graves/Azir/Caitlyn/Morgana 2019,Gangplank/Volibear 2020/Syl/Ashe/Bard,2020-08-07 11:00:00
KT Rolster,Hanwha Life Esports,1,Lucian/Graves/Ekko/Ashe/Bard,Kennen/Trundle/Azir/Caitlyn/Thr,2020-08-07 11:00:00
KT Rolster,Hanwha Life Esports,1,Lucian/Graves/Twisted Fate/Jhin/Bard,Kennen/Lee Sin/Syl/Caitlyn/Thr,2020-08-07 11:00:00
SANDBOX Gaming,DRX,2,Jc/Lee Sin/Zoe/Caitlyn/Bard,Irelia 2018/Graves/Azir/Ashe/Morgana 2019,2020-08-08 08:00:00
SANDBOX Gaming,DRX,2,Lucian/Graves/Azir/Caitlyn/Lulu,Kennen/Volibear 2020/Syl/Ashe/Morgana 2019,2020-08-08 08:00:00
DAMWON Gaming,SeolHaeOne Prince,1,Jayce/Nidalee/Twisted Fate/Ezreal/Bard,Wukong/Lee Sin/Azir/Ashe/Pantheon 2019,2020-08-08 11:00:00
DAMWON Gaming,SeolHaeOne Prince,1,Camille/Lee Sin/Twisted Fate/Jhin/Pantheon 2019,Karma/Graves/Sylas/Caitlyn/Morgana 2019,2020-08-08 11:00:00
Team Dynamics,T1,2,Jc/Jarvan IV/LeBlanc/Caitlyn/Lux,Wukong/Olaf/Syndra/Ezreal/Karma,2020-08-09 08:00:00
Team Dynamics,Afreeca Freecs,1,Aatrox 2018/Trundle/Karma/Aphelios/Nautilus,Kennen/Graves/Syndra/Ezreal/Yuumi,2020-06-20 08:00:00
Team Dynamics,T1,2,Fiora/Sejuani/Karma/Caitlyn/Lux,Cam/Kha'Zix/Zoe/Ashe/Nautilus,2020-08-09 08:00:00
Gen.G Esports,KT Rolster,1,Irelia 2018/Nidalee/Azir/Ezreal/Karma,Kennen/Graves/Ekko/Caitlyn/Lux,2020-08-09 11:00:00
Gen.G Esports,KT Rolster,2,Renekton/Kha'Zix/Syl/Caitlyn/Lulu,Gnar/Nidalee/Twisted Fate/Jhin/Bard,2020-08-09 11:00:00
Gen.G Esports,KT Rolster,1,Cam/Nidalee/Azir/Ezreal/Karma,Fiora/Olaf/Zoe/Lucian/Yuu,2020-08-09 11:00:00
SANDBOX Gaming,Gen.G Esports,1,Ornn/Olaf/Zoe/Caitlyn/Tahm Kench,Syl/Nidalee/Pantheon 2019/Jhin/Gragas,2020-08-13 08:00:00
SANDBOX Gaming,Gen.G Esports,2,Gangplank/Sejuani/Akali 2018/Caitlyn/Karma,Renekton/Volibear 2020/Azir/Jinx/Braum,2020-08-13 08:00:00
SANDBOX Gaming,Gen.G Esports,2,Gangplank/Trundle/Zoe/Caitlyn/Morgana 2019,Renekton/Olaf/Azir/Jhin/Pantheon 2019,2020-08-13 08:00:00
T1,Afreeca Freecs,1,Lucian/Volibear 2020/Zoe/Senna/Leo,Akali 2018/Sett/Orianna/Kalista/Nautilus,2020-08-13 11:00:00
T1,Afreeca Freecs,1,Renekton/Sett/Zoe/Senna/Nautilus,Jc/Volibear 2020/Syndra/Ashe/Thr,2020-08-13 11:00:00
SeolHaeOne Prince,KT Rolster,2,Gnar/Ekko/Sett/Ashe/Blitzcrank,Wukong/Nidalee/Syl/Caitlyn/Bard,2020-08-14 08:00:00
Team Dynamics,Afreeca Freecs,2,Lucian/Graves/Karma/Ezreal/Leona,Mordekaiser 2019/Trundle/Galio 2017/Aphelios/Nautilus,2020-06-20 08:00:00
SeolHaeOne Prince,KT Rolster,2,Gnar/Nidalee/Qiy/Ashe/Rumble,Jc/Sett/Syl/Caitlyn/Bard,2020-08-14 08:00:00
DRX,Hanwha Life Esports,1,Akali 2018/Lil/Lucian/Caitlyn/Lux,Wukong/Olaf/Galio 2017/Ashe/Bard,2020-08-14 10:50:00
DRX,Hanwha Life Esports,1,Akali 2018/Lil/Sett/Caitlyn/Bard,Jc/Volibear 2020/Syl/Ashe/Janna,2020-08-14 10:50:00
Team Dynamics,DAMWON Gaming,2,Lucian/Rek'Sai/Zoe/Ashe/Thr,Renekton/Nidalee/Azir/Nidalee/Leo,2020-08-15 08:00:00
Team Dynamics,DAMWON Gaming,2,Gangplank/Trundle/Zoe/Ashe/Lux,Renekton/Nidalee/Jc/Ezreal/Karma,2020-08-15 08:00:00
Afreeca Freecs,SANDBOX Gaming,1,Akali 2018/Trundle/Syndra/Caitlyn/Lux,Sett/Volibear 2020/Orianna/Senna/Nautilus,2020-08-15 10:50:00
Afreeca Freecs,SANDBOX Gaming,2,Quinn/Volibear 2020/Lux/Jhin/Nautilus,Jc/Sett/Azir/Caitlyn/Braum,2020-08-15 10:50:00
Afreeca Freecs,SANDBOX Gaming,1,Renekton/Lil/Twisted Fate/Caitlyn/Lux,Ornn/Sett/Syndra/Jhin/Karma,2020-08-15 10:50:00
Hanwha Life Esports,Gen.G Esports,2,Lucian/Volibear 2020/Azir/Caitlyn/Janna,Kennen/Sett/Akali 2018/Ashe/Braum,2020-08-16 08:00:00
Hanwha Life Esports,Gen.G Esports,2,Jc/Sett/Azir/Ashe/Shen,Renekton/Volibear 2020/Akali 2018/Ezreal/Nautilus,2020-08-16 08:00:00
Team Dynamics,Afreeca Freecs,2,Ornn/Graves/Karma/Ezreal/Leona,Urgot 2017/Nidalee/Galio 2017/Aphelios/Nautilus,2020-06-20 08:00:00
DRX,SeolHaeOne Prince,2,Renekton/Kind/Orianna/Ezreal/Karma,Gnar/Nidalee/Zoe/Ashe/Nautilus,2020-08-16 11:00:00
DRX,SeolHaeOne Prince,1,Akali 2018/Lil/Irelia 2018/Senna/Braum,Renekton/Nidalee/Azir/Ashe/Karma,2020-08-16 11:00:00
DRX,SeolHaeOne Prince,1,Quinn/Lil/Syl/Caitlyn/Lux,Gnar/Nidalee/Pantheon 2019/Ashe/Blitzcrank,2020-08-16 11:00:00
DAMWON Gaming,T1,1,Cam/Lil/Twisted Fate/Ezreal/Leo,Mordekaiser 2019/Kha'Zix/Syl/Ashe/Nautilus,2020-08-20 08:00:00
DAMWON Gaming,T1,1,Renekton/Sett/Kassadin/Zig/Thr,Jc/Volibear 2020/Syl/Senna/Leo,2020-08-20 08:00:00
Afreeca Freecs,KT Rolster,2,Renekton/Graves/Gragas/Ezreal/Karma,Jc/Volibear 2020/Syl/Caitlyn/Bard,2020-08-20 11:00:00
Afreeca Freecs,KT Rolster,1,Mordekaiser 2019/Lil/Syl/Ashe/Nautilus,Cam/Volibear 2020/Twisted Fate/Ezreal/Bard,2020-08-20 11:00:00
Afreeca Freecs,KT Rolster,1,Mordekaiser 2019/Sett/Renekton/Caitlyn/Nautilus,Gnar/Volibear 2020/Syl/Jhin/Leo,2020-08-20 11:00:00
Hanwha Life Esports,SANDBOX Gaming,2,Renekton/Volibear 2020/Ekko/Jhin/Leo,Ornn/Sett/Azir/Caitlyn/Braum,2020-08-21 08:00:00
Hanwha Life Esports,SANDBOX Gaming,2,Lucian/Olaf/Akali 2018/Caitlyn/Lulu,Wukong/Sett/Azir/Jhin/Tahm Kench,2020-08-21 08:00:00
T1,Hanwha Life Esports,1,Camille/Nidalee/Twisted Fate/Kalista/Blitzcrank,Mordekaiser 2019/Trundle/Syndra/Aphelios/Thresh,2020-06-20 11:00:00
Afreeca Freecs,SANDBOX Gaming,1,Mordekaiser 2019/Trundle/Twisted Fate/Aphelios/Nautilus,Aatrox 2018/Jarvan IV/Azir/Ezreal/Karma,2020-06-17 08:00:00
SeolHaeOne Prince,Team Dynamics,2,Renekton/Nidalee/Qiy/Jhin/Nautilus,Kennen/Volibear 2020/Lissandra/Ashe/Braum,2020-08-21 11:00:00
SeolHaeOne Prince,Team Dynamics,2,Darius/Skar/Zoe/Ashe/Pantheon 2019,Mordekaiser 2019/Sett/Azir/Senna/Wukong,2020-08-21 11:00:00
Gen.G Esports,Afreeca Freecs,1,Renekton/Nidalee/Orianna/Senna/Sett,Quinn/Volibear 2020/Zoe/Ashe/Bard,2020-08-22 08:00:00
Gen.G Esports,Afreeca Freecs,1,Renekton/Lil/Ekko/Ezreal/Alistar,Gnar/Hecarim/Orianna/Kalista/Sett,2020-08-22 08:00:00
KT Rolster,DAMWON Gaming,2,Jc/Hecarim/Twisted Fate/Ashe/Lulu,Renekton/Nidalee/Azir/Senna/Leo,2020-08-22 11:00:00
KT Rolster,DAMWON Gaming,2,Cam/Lil/Lucian/Ashe/Leo,Wukong/Volibear 2020/Viktor/Ezreal/Braum,2020-08-22 11:00:00
T1,DRX,1,Jc/Lil/Akali 2018/Ashe/Nautilus,Renekton/Evelynn 2017/Galio 2017/Kalista/Pantheon 2019,2020-08-23 08:00:00
T1,DRX,2,Cam/Volibear 2020/Galio 2017/Miss Fortune/Sett,Akali 2018/Graves/Twisted Fate/Senna/Leo,2020-08-23 08:00:00
T1,DRX,1,Renekton/Volibear 2020/Akali 2018/Ashe/Shen,Gnar/Lee Sin/Azir/Kalista/Leo,2020-08-23 08:00:00
Team Dynamics,Hanwha Life Esports,1,Aatrox 2018/Volibear 2020/LeBlanc/Ashe/Nautilus,Renekton/Olaf/Azir/Caitlyn/Shen,2020-08-23 11:00:00
T1,Hanwha Life Esports,2,Jax/Lee Sin/Karma/Ezreal/Tahm kench,Wukong/Trundle/Azir/Aphelios/Nautilus,2020-06-20 11:00:00
Team Dynamics,Hanwha Life Esports,2,Irelia 2018/Nidalee/Azir/Ashe/Pantheon 2019,Jc/Lee Sin/Syl/Caitlyn/Bard,2020-08-23 11:00:00
Team Dynamics,Hanwha Life Esports,2,Kennen/Volibear 2020/Azir/Senna/Sett,Cam/Olaf/Syl/Ashe/Lulu,2020-08-23 11:00:00
T1,Hanwha Life Esports,1,Ornn/Sett/Karma/Xayah/Rakan,Kayle 2019/Graves/Galio 2017/Ashe/Tahm kench,2020-06-20 11:00:00
KT Rolster,Gen.G Esports,1,Wukong/Trundle/Twisted Fate/Ezreal/Lulu,Malphite/Graves/Azir/Aphelios/Bard,2020-06-21 08:00:00
KT Rolster,Gen.G Esports,2,Jayce/Trundle/Twisted Fate/Senna/Sion,Camille/Kindred/Galio 2017/Ashe/Karma,2020-06-21 08:00:00
KT Rolster,Gen.G Esports,2,Wukong/Lee Sin/Twisted Fate/Ezreal/Bard,Malphite/Trundle/Azir/Ashe/Thresh,2020-06-21 08:00:00
SeolHaeOne Prince,DAMWON Gaming,2,Ornn/Elise/Zed/Aphelios/Thresh,Wukong/Trundle/Zoe/Ziggs/Pantheon 2019,2020-06-21 11:00:00
SeolHaeOne Prince,DAMWON Gaming,2,Poppy/Trundle/Kassadin/Lucian/Yuumi,Jayce/Lee Sin/Zoe/Ezreal/Pantheon 2019,2020-06-21 11:00:00
Team Dynamics,SeolHaeOne Prince,1,Aatrox 2018/Olaf/Zoe/Aph/Nautilus,Volibear 2020/Jarvan IV/LeBlanc/Ezreal/Yuumi,2020-06-24 08:00:00
Team Dynamics,SeolHaeOne Prince,2,Aatrox 2018/Olaf/Lissandra/Kai'Sa/Pantheon 2019,Wukong/Graves/Twisted Fate/Ezreal/Yuumi,2020-06-24 08:00:00
Team Dynamics,SeolHaeOne Prince,1,Volibear 2020/Olaf/Azir/Aphelios/Sett,Ornn/Rek'Sai/Corki/Kalista/Thresh,2020-06-24 08:00:00
Afreeca Freecs,SANDBOX Gaming,1,Aatrox 2018/Gragas/Karma/Kalista/Taric,Wukong/Trundle/Cassiopeia/Senna/Nautilus,2020-06-17 08:00:00
Hanwha Life Esports,KT Rolster,2,Aatrox 2018/Trundle/Corki/Kai'Sa/Nautilus,Jayce/Jarvan IV/Galio 2017/Aphelios/Taric,2020-06-24 11:00:00
Hanwha Life Esports,KT Rolster,2,Camille/Trundle/Galio 2017/Kai'Sa/Nautilus,Mordekaiser 2019/Lee Sin/Sylas/Ezreal/Tahm kench,2020-06-24 11:00:00
